platform,alg,op,n,time_mean,time_median,time_p95,time_min,time_max,heap_delta_mean,rss_delta_kb_mean,ok_rate,pk_len_mean,sk_len_mean,sig_len_mean
rpi-local,Falcon-512,keypair,50,119824.84,99837.5,220618.79999999996,65872,281938,23.52,1.44,1.0,897.0,1281.0,-1.0
rpi-local,Falcon-512,sign,50,25938.94,25743.0,26472.5,25451,28399,10.88,1.44,1.0,897.0,1281.0,654.94
rpi-local,Falcon-512,verify,50,546.58,543.0,562.9499999999999,539,630,20.16,1.36,1.0,897.0,1281.0,653.0
rpi-local,Falcon-512,whole,50,148177.24,127212.0,297127.5499999999,91609,435114,3049.6,1.44,1.0,897.0,1281.0,655.34
rpi-local,Falcon-padded-512,keypair,50,119450.04,103818.0,217685.6999999999,65956,337003,23.52,1.44,1.0,897.0,1281.0,-1.0
rpi-local,Falcon-padded-512,sign,50,25331.38,25238.5,25633.649999999998,25111,27684,14.24,1.36,1.0,897.0,1281.0,666.0
rpi-local,Falcon-padded-512,verify,50,680.58,624.0,1085.4499999999998,539,1284,6.4,1.36,1.0,897.0,1281.0,666.0
rpi-local,Falcon-padded-512,whole,50,153093.42,133723.0,274420.8999999999,91661,472747,2948.8,1.52,1.0,897.0,1281.0,666.0
rpi-local,MAYO-1,keypair,50,15196.3,15181.0,15309.6,15097,15537,23.52,1.36,1.0,1420.0,24.0,-1.0
rpi-local,MAYO-1,sign,50,25915.92,25895.0,26113.7,25797,26700,14.24,1.44,1.0,1420.0,24.0,454.0
rpi-local,MAYO-1,verify,50,13274.86,13259.0,13378.85,13228,13465,29.28,1.52,1.0,1420.0,24.0,454.0
rpi-local,MAYO-1,whole,50,55563.36,55426.5,56510.45,55146,57946,1473.6,1.44,1.0,1420.0,24.0,454.0
rpi-local,ML-DSA-44,keypair,50,2241.48,1857.0,4390.25,1800,4539,14.24,1.44,1.0,1312.0,2560.0,-1.0
rpi-local,ML-DSA-44,sign,50,4769.64,3644.0,8491.899999999998,2544,11436,12.0,1.84,1.0,1312.0,2560.0,2420.0
rpi-local,ML-DSA-44,verify,50,1875.16,1869.5,1917.55,1856,1927,10.88,1.36,1.0,1312.0,2560.0,2420.0
rpi-local,ML-DSA-44,whole,50,8512.54,7892.5,13041.299999999996,6225,19861,6361.12,1.68,1.0,1312.0,2560.0,2420.0
rpi-local,SPHINCS+-SHA2-128f-simple,keypair,50,8646.52,8180.0,12723.15,8151,12864,6.4,1.36,1.0,32.0,64.0,-1.0
rpi-local,SPHINCS+-SHA2-128f-simple,sign,50,190296.28,189935.5,191998.15,188400,196699,6.4,1.68,1.0,32.0,64.0,17088.0
rpi-local,SPHINCS+-SHA2-128f-simple,verify,50,11199.38,11117.0,11378.2,11100,12554,6.4,1.36,1.0,32.0,64.0,17088.0
rpi-local,SPHINCS+-SHA2-128f-simple,whole,50,212807.48,212351.0,214091.1,211251,231034,17134.4,1.68,1.0,32.0,64.0,17088.0
rpi-local,SPHINCS+-SHA2-128s-simple,keypair,50,534455.08,526270.5,563851.25,521461,574398,6.4,1.36,1.0,32.0,64.0,-1.0
rpi-local,SPHINCS+-SHA2-128s-simple,sign,50,4199154.6,4123838.5,4561590.45,3966633,5055894,6.4,1.52,1.0,32.0,64.0,7856.0
rpi-local,SPHINCS+-SHA2-128s-simple,verify,50,4069.04,4062.0,4109.9,4044,4194,6.4,1.36,1.0,32.0,64.0,7856.0
rpi-local,SPHINCS+-SHA2-128s-simple,whole,50,4824998.54,4668572.5,5183483.6,4480049,6480223,7902.4,1.52,1.0,32.0,64.0,7856.0
rpi-local,SPHINCS+-SHAKE-128f-simple,keypair,50,76559.68,76494.5,76648.5,76399,78799,14.24,1.36,1.0,32.0,64.0,-1.0
rpi-local,SPHINCS+-SHAKE-128f-simple,sign,50,1933568.86,1915099.5,2105109.3,1807192,2120759,41.12,1.36,1.0,32.0,64.0,17088.0
rpi-local,SPHINCS+-SHAKE-128f-simple,verify,50,116937.04,117021.0,127579.1,105662,128334,6.4,1.36,1.0,32.0,64.0,17088.0
rpi-local,SPHINCS+-SHAKE-128f-simple,whole,50,2121690.54,2045639.5,2313634.6,1972520,2403304,17142.4,1.36,1.0,32.0,64.0,17088.0
rpi-local,SPHINCS+-SHAKE-128s-simple,keypair,50,5243292.82,5089898.5,5771494.8,4898221,6193525,14.24,1.36,1.0,32.0,64.0,-1.0
rpi-local,SPHINCS+-SHAKE-128s-simple,sign,50,40300406.78,40198010.5,41297850.6,39201543,42154252,6.4,1.36,1.0,32.0,64.0,7856.0
rpi-local,SPHINCS+-SHAKE-128s-simple,verify,50,37604.16,37568.0,37661.2,37492,38518,14.24,1.36,1.0,32.0,64.0,7856.0
rpi-local,SPHINCS+-SHAKE-128s-simple,whole,50,45972335.5,45976408.5,46968334.75,44692931,47957934,7911.04,1.36,1.0,32.0,64.0,7856.0
